TeamName,Name,Email,Game,Skill,Role
Team 1,Participant_25,user25@university.edu,FIFA,9,Coordinator
Team 1,Participant_75,user75@university.edu,Valorant,8,Coordinator
Team 1,Participant_2,user2@university.edu,FIFA,5,Attacker
Team 2,Participant_7,user7@university.edu,DOTA 2,5,Attacker
Team 2,Participant_15,user15@university.edu,DOTA 2,8,Coordinator
Team 2,Participant_5,user5@university.edu,CS:GO,9,Coordinator
Team 3,Participant_37,user37@university.edu,DOTA 2,8,Attacker
Team 3,Participant_21,user21@university.edu,FIFA,4,Strategist
Team 3,Participant_80,user80@university.edu,Basketball,1,Coordinator
Team 4,Participant_28,user28@university.edu,CS:GO,8,Defender
Team 4,Participant_84,user84@university.edu,FIFA,5,Supporter
Team 4,Participant_41,user41@university.edu,Basketball,5,Strategist
Team 5,Participant_49,user49@university.edu,Basketball,3,Supporter
Team 5,Participant_27,user27@university.edu,Chess,6,Attacker
Team 5,Participant_44,user44@university.edu,FIFA,6,Supporter
Team 6,Participant_55,user55@university.edu,Chess,8,Coordinator
Team 6,Participant_6,user6@university.edu,CS:GO,2,Strategist
Team 6,Participant_86,user86@university.edu,FIFA,9,Strategist
Team 7,Participant_22,user22@university.edu,Chess,9,Attacker
Team 7,Participant_48,user48@university.edu,Valorant,6,Defender
Team 7,Participant_35,user35@university.edu,Basketball,8,Coordinator
Team 8,Participant_97,user97@university.edu,FIFA,3,Attacker
Team 8,Participant_72,user72@university.edu,DOTA 2,5,Attacker
Team 8,Participant_32,user32@university.edu,DOTA 2,2,Attacker
Team 9,Participant_43,user43@university.edu,DOTA 2,2,Defender
Team 9,Participant_24,user24@university.edu,DOTA 2,7,Supporter
Team 9,Participant_29,user29@university.edu,Basketball,5,Supporter
Team 10,Participant_79,user79@university.edu,Chess,5,Supporter
Team 10,Participant_96,user96@university.edu,DOTA 2,8,Strategist
Team 10,Participant_11,user11@university.edu,Basketball,8,Strategist
Team 11,Participant_76,user76@university.edu,FIFA,7,Strategist
Team 11,Participant_63,user63@university.edu,Chess,8,Defender
Team 11,Participant_59,user59@university.edu,DOTA 2,4,Supporter
Team 12,Participant_46,user46@university.edu,CS:GO,5,Strategist
Team 12,Participant_30,user30@university.edu,CS:GO,4,Coordinator
Team 12,Participant_98,user98@university.edu,CS:GO,5,Defender
Team 13,Participant_61,user61@university.edu,CS:GO,7,Strategist
Team 13,Participant_45,user45@university.edu,Chess,2,Coordinator
Team 13,Participant_68,user68@university.edu,Chess,1,Defender
